name,key,Life expectancy at birth (years) 2015,Total fertility rate 2015,Deaths due to ischemic heart disease (cases per 100k population) 2010,Deaths due to cancer (cases per 100k population) 2010,Human resources in science and technology (percent) 2016,Population density (people per km^2) 2015,Unemployment rate (percent) 2016,Regional gross domestic product (PPS per inhabitant) 2015,Mean precipitation (mm) Apr-Sep,Mean precipitation (mm) Oct-Mar,Mean temperature (C) Apr-Sep,Mean temperature (C) Oct-Mar
Łódzkie,PL11,75.9,1.27,140.0,308.0,38.9,137.2,5.5,18500.0,5.31534213351,3.21824858481,15.0026901647,1.94681291831
Mazowieckie,PL12,78.1,1.42,176.3,302.2,50.3,151.3,5.5,31600.0,5.50175692638,3.17360594869,14.6655904055,1.19788192833
Małopolskie,PL21,78.8,1.35,212.6,294.0,42.0,222.2,5.2,17800.0,7.66135068734,3.93081951141,14.3221525749,1.19302090009
Śląskie,PL22,76.7,1.28,263.0,317.0,43.5,372.8,5.4,20600.0,7.09084928603,3.96186515263,14.7763488406,2.00011907873
Lubelskie,PL31,77.8,1.28,113.9,272.3,37.2,85.1,8.0,13600.0,5.76613605817,2.98625832399,14.7652222951,1.03675001264
Podkarpackie,PL32,78.7,1.25,146.1,268.8,37.8,118.1,9.6,14000.0,6.79500834147,3.35289172331,14.651361084,1.19883339107
Świętokrzyskie,PL33,77.4,1.21,226.5,282.8,35.3,107.1,8.9,14300.0,6.12220639274,3.21942470187,14.9181744712,1.4821826106
Podlaskie,PL34,78.2,1.28,178.0,288.9,39.1,58.3,6.7,14100.0,5.92749995277,3.6922327526,13.9754760984,0.450767216228
Wielkopolskie,PL41,77.4,1.4,222.1,337.1,36.7,117.4,4.8,21500.0,5.22167281163,3.53391567277,14.7592593064,2.2687037256
Zachodniopomorskie,PL42,77.4,1.25,199.2,329.3,39.8,77.7,6.9,16800.0,5.60347039964,4.19718894958,14.363444519,2.6947037273
Lubuskie,PL43,76.9,1.28,177.6,319.9,35.1,73.2,4.7,16500.0,5.22195482254,3.76604855061,15.2148265839,3.00159727534
Dolnośląskie,PL51,77.2,1.24,118.4,327.0,42.5,145.0,5.5,22100.0,6.25146943728,4.15712780952,14.21163915,2.12341669798
Opolskie,PL52,77.5,1.21,104.5,291.0,36.8,102.9,5.0,16000.0,6.85136127472,3.82861671448,14.5028333028,2.18950006167
Kujawsko-pomorskie,PL61,77.6,1.27,176.9,360.1,35.6,118.0,7.4,16100.0,5.36608336369,3.50234031677,14.3687153657,1.71864585082
Warmińsko-mazurskie,PL62,77.1,1.27,126.8,333.4,35.8,62.2,8.8,14100.0,6.06090894063,4.25576004028,13.9344003296,1.13397776286
Pomorskie,PL63,78.0,1.44,124.2,342.4,43.5,129.5,5.7,19000.0,5.78914965116,4.0996623406,13.6131197611,1.86611117461
Norte,PT11,81.7,1.17,55.3,242.1,30.1,169.7,12.0,18700.0,5.37451201393,12.3244958605,16.588135356,7.8786112581
Algarve,PT15,80.8,1.49,80.6,245.3,30.0,88.4,9.2,22700.0,2.34909251001,8.0172317293,20.3474065993,13.0064811707
Centro (PT),PT16,81.5,1.19,57.9,231.6,31.5,80.2,8.4,19200.0,4.44039270613,11.8150260078,18.4389630636,10.7013704512
Área Metropolitana de Lisboa,PT17,81.6,1.56,123.7,264.2,45.4,932.3,11.9,29700.0,2.7842917045,8.9621942838,19.3018051783,13.1744441986
Alentejo,PT18,80.2,1.34,98.4,246.2,28.3,23.1,12.1,20100.0,2.98593613307,8.79117225011,20.181083107,12.377027448
Região Autónoma dos Açores,PT20,77.8,1.25,156.5,319.6,29.6,106.0,11.1,19700.0,,,,
Região Autónoma da Madeira,PT30,78.3,1.1,88.3,290.4,28.0,321.1,12.9,20700.0,,,,
Nord-Vest,RO11,74.6,1.54,559.2,273.1,25.9,76.6,4.3,14400.0,6.39339306914,4.13525513072,15.3054117273,1.45742800427
Centru,RO12,75.5,1.69,500.3,282.9,29.0,69.4,5.2,15100.0,5.64954352379,2.84239091192,13.6008333252,0.0849801961865
Nord-Est,RO21,74.3,1.93,297.8,259.3,15.8,90.3,3.0,9900.0,5.46935315359,2.53050398827,14.4427975927,0.195476213381
Sud-Est,RO22,74.7,1.68,237.1,263.2,22.3,79.6,7.7,14600.0,3.86853328705,2.38292665482,17.3375558726,2.77375553131
Sud - Muntenia,RO31,75.1,1.58,305.6,234.2,21.2,91.0,8.9,13700.0,4.458305989,2.81140163673,17.3687099193,2.80018822577
Bucureşti - Ilfov,RO32,76.7,1.24,343.9,316.6,46.8,1299.8,4.7,39400.0,4.73375002543,3.02458333969,18.3097229004,3.32777802149
Sud-Vest Oltenia,RO41,75.0,1.48,288.5,212.9,23.9,70.4,9.9,11600.0,4.84697445234,3.39522910118,15.9402083556,2.17958336655
Vest,RO42,74.5,1.43,440.0,294.9,24.9,57.2,4.9,16500.0,5.04984031783,3.41845135556,16.5506251918,2.99456018872
Vzhodna Slovenija,SI03,79.8,1.58,,,40.1,88.6,8.9,19800.0,11.3465406206,8.37347045475,14.702888955,2.09737048679
Zahodna Slovenija,SI04,82.3,1.57,,,49.6,124.3,7.1,28500.0,13.9599440098,10.8570767244,14.0646528403,1.82534715533
Bratislavský kraj,SK01,78.5,1.52,478.5,311.1,54.0,306.5,5.1,54400.0,5.6918888092,3.77744452159,16.527777036,3.15069460869
Západné Slovensko,SK02,76.9,1.23,543.1,322.5,31.3,122.3,7.7,20600.0,6.28993421793,4.16411113739,15.5684720675,2.28274313112
Stredné Slovensko,SK03,76.3,1.33,535.7,308.0,29.8,82.7,10.8,17800.0,7.89222236474,4.81334724029,13.8773958286,0.71815974017
Východné Slovensko,SK04,76.3,1.54,590.8,290.3,28.4,102.8,13.2,15600.0,8.11970261966,4.35019272449,13.448921615,0.23846399901
Länsi-Suomi,FI19,81.8,1.72,236.8,228.5,48.1,23.6,9.4,28300.0,5.50919393153,4.21777664758,10.433692982,-3.66647058998
Helsinki-Uusimaa,FI1B,81.9,1.51,215.1,230.1,62.1,177.2,7.4,41500.0,5.69039685386,4.94512296858,11.3692064739,-2.50896821703
Etelä-Suomi,FI1C,81.5,1.62,249.8,231.2,47.4,36.9,9.1,27900.0,5.53605969747,4.72142778238,11.2179722627,-3.15027779142
Pohjois- ja Itä-Suomi,FI1D,81.1,1.81,292.8,217.8,44.5,6.4,10.2,25800.0,5.25270126126,3.74050330823,8.34234254957,-7.12276498733
Åland,FI20,82.5,1.69,152.1,266.3,48.6,18.6,,38400.0,4.76800028483,4.72200043996,11.4166666667,0.727777798971
Stockholm,SE11,82.7,1.81,140.6,240.5,64.2,339.4,6.5,50300.0,4.93062361964,3.85784573025,11.9116047047,0.00296299325095
Östra Mellansverige,SE12,82.4,1.86,172.5,248.2,51.1,42.4,7.7,30600.0,5.60561969138,4.16474075806,11.5858832465,-0.52148146609
Småland med öarna,SE21,82.4,1.96,176.4,237.5,44.7,25.0,6.2,30000.0,5.86432776981,4.90911865234,11.7861109416,0.700962951448
Sydsverige,SE22,82.4,1.83,168.2,254.6,54.9,104.4,8.4,30200.0,6.05108888414,5.64086299472,12.450333235,1.74800000721
Västsverige,SE23,82.5,1.82,170.8,243.7,51.8,66.8,6.5,35000.0,6.38364558384,5.99245980142,12.0725476495,0.948773932868
Norra Mellansverige,SE31,81.2,1.91,186.3,238.1,45.7,13.1,7.5,28500.0,6.16474048978,4.35706826619,9.96899204254,-3.1825000025
Mellersta Norrland,SE32,80.9,1.94,191.2,243.2,44.9,5.3,6.8,30600.0,5.91454353815,4.7598122464,8.22029533467,-5.1238677718
Övre Norrland,SE33,81.4,1.79,191.7,227.9,48.9,3.4,5.8,32100.0,5.25465652778,4.34786652319,6.95076170807,-7.74428713896
Tees Valley and Durham,UKC1,79.6,1.79,160.3,328.2,45.3,393.7,6.9,21200.0,6.38473139869,8.09396309323,11.0530558692,4.25185177061
Northumberland and Tyne and Wear,UKC2,79.9,1.64,163.8,331.3,48.4,259.2,7.1,24600.0,6.1649553299,7.4507001241,11.1546666463,4.47977771759
Cumbria,UKD1,81.4,1.86,167.2,290.0,45.8,73.6,3.7,27400.0,7.96074295044,11.1854306857,11.7249999046,4.91819433371
Greater Manchester,UKD3,79.5,1.87,188.2,311.2,52.0,2159.5,6.1,26300.0,8.28830560048,10.5779164632,12.5147215525,5.36805534363
Lancashire,UKD4,79.8,1.9,174.1,303.3,49.0,480.4,4.4,23900.0,8.2664999644,10.9250556946,12.1107774099,5.17222201029
